日付,登録者名,業務区分,時間
2026/06/03,渡辺 優,情報探索・問い合わせ,2.0
2026/06/03,渡辺 優,会議・MTG（その他）,0.5
2026/06/03,渡辺 優,会議・MTG（1オン1・相談）,1.0
2026/06/03,渡辺 優,会議・MTG（その他）,0.5
2026/06/04,佐藤 健一,情報探索・問い合わせ,3.0
2026/06/04,佐藤 健一,会議・MTG（1オン1・相談）,1.5
2026/06/04,佐藤 健一,データ集計・分析・考察・思考,1.0
2026/06/04,佐藤 健一,会議・MTG（その他）,2.0
2026/06/04,鈴木 美和,会議・MTG（その他）,1.0
2026/06/04,鈴木 美和,会議・MTG（問題解決）,0.5
2026/06/04,鈴木 美和,会議・MTG（1オン1・相談）,3.0
2026/06/04,鈴木 美和,会議・MTG（意思決定）,1.5
2026/06/04,鈴木 美和,会議・MTG（問題解決）,1.0
2026/06/04,鈴木 美和,その他,0.5
2026/06/04,高橋 彼,業務進行,2.0
2026/06/04,高橋 彼,業務進行,1.0
2026/06/04,高橋 彼,会議・MTG（意思決定）,3.0
2026/06/04,高橋 彼,その他,1.0
2026/06/04,高橋 彼,会議・MTG（意思決定）,1.0
2026/06/04,高橋 彼,業務進行,0.5
2026/06/04,田中 智,クライアント対応,3.0
2026/06/04,田中 智,会議・MTG（情報共有・報告）,0.5
2026/06/04,田中 智,データ集計・分析・考察・思考,1.0
2026/06/04,田中 智,業務進行,0.5
2026/06/04,田中 智,会議・MTG（情報共有・報告）,0.5
2026/06/04,田中 智,業務進行,1.0
2026/06/04,伊藤 儚,クライアント対応,1.0
2026/06/04,伊藤 儚,クライアント対応,3.0
2026/06/04,伊藤 儚,情報探索・問い合わせ,3.0
2026/06/04,伊藤 儚,申請・手続き・事務対応,0.5
2026/06/04,渡辺 優,会議・MTG（その他）,1.0
2026/06/04,渡辺 優,会議・MTG（意思決定）,2.0
2026/06/04,渡辺 優,資料作成・確認,1.5
2026/06/04,渡辺 優,会議・MTG（問題解決）,2.0
2026/06/04,渡辺 優,会議・MTG（その他）,0.5
2026/06/04,渡辺 優,資料作成・確認,1.5
2026/06/05,佐藤 健一,会議・MTG（情報共有・報告）,1.0
2026/06/05,佐藤 健一,会議・MTG（その他）,2.0
2026/06/05,佐藤 健一,会議・MTG（意思決定）,1.0
2026/06/05,佐藤 健一,クライアント対応,3.0
2026/06/05,佐藤 健一,会議・MTG（情報共有・報告）,1.0
2026/06/05,佐藤 健一,会議・MTG（1オン1・相談）,0.5
2026/06/05,鈴木 美和,業務進行,0.5
2026/06/05,鈴木 美和,データ集計・分析・考察・思考,3.0
2026/06/05,鈴木 美和,その他,0.5
2026/06/05,鈴木 美和,会議・MTG（情報共有・報告）,1.0
2026/06/05,鈴木 美和,データ集計・分析・考察・思考,0.5
2026/06/05,鈴木 美和,資料作成・確認,1.0
2026/06/05,鈴木 美和,情報探索・問い合わせ,1.0
2026/06/05,高橋 彼,業務進行,1.5
2026/06/05,高橋 彼,情報探索・問い合わせ,3.0
2026/06/05,高橋 彼,データ集計・分析・考察・思考,1.5
2026/06/05,高橋 彼,会議・MTG（情報共有・報告）,1.0
2026/06/05,高橋 彼,情報探索・問い合わせ,1.0
2026/06/05,田中 智,資料作成・確認,1.5
2026/06/05,田中 智,データ集計・分析・考察・思考,0.5
2026/06/05,田中 智,会議・MTG（1オン1・相談）,2.0
2026/06/05,田中 智,申請・手続き・事務対応,2.0
2026/06/05,田中 智,会議・MTG（1オン1・相談）,0.5
2026/06/05,伊藤 儚,申請・手続き・事務対応,0.5
2026/06/05,伊藤 儚,会議・MTG（問題解決）,0.5
2026/06/05,伊藤 儚,会議・MTG（その他）,1.5
2026/06/05,伊藤 儚,情報探索・問い合わせ,1.5
2026/06/05,伊藤 儚,データ集計・分析・考察・思考,1.0
2026/06/05,伊藤 儚,データ集計・分析・考察・思考,1.5
2026/06/05,伊藤 儚,会議・MTG（その他）,1.5
2026/06/05,渡辺 優,会議・MTG（情報共有・報告）,1.0
2026/06/05,渡辺 優,業務進行,2.0
2026/06/05,渡辺 優,申請・手続き・事務対応,2.0
2026/06/05,渡辺 優,申請・手続き・事務対応,1.0
2026/06/05,渡辺 優,情報探索・問い合わせ,1.0
2026/06/05,渡辺 優,申請・手続き・事務対応,0.5
2026/06/08,佐藤 健一,会議・MTG（問題解決）,1.0
2026/06/08,佐藤 健一,データ集計・分析・考察・思考,2.0
2026/06/08,佐藤 健一,情報探索・問い合わせ,2.0
2026/06/08,佐藤 健一,情報探索・問い合わせ,1.5
2026/06/08,佐藤 健一,資料作成・確認,1.5
2026/06/08,佐藤 健一,データ集計・分析・考察・思考,0.5
2026/06/08,鈴木 美和,業務進行,1.5
2026/06/08,鈴木 美和,会議・MTG（問題解決）,1.5
2026/06/08,鈴木 美和,会議・MTG（情報共有・報告）,1.0
2026/06/08,鈴木 美和,クライアント対応,1.5
2026/06/08,鈴木 美和,会議・MTG（その他）,1.5
2026/06/08,高橋 彼,データ集計・分析・考察・思考,0.5
2026/06/08,高橋 彼,会議・MTG（情報共有・報告）,1.0
2026/06/08,高橋 彼,会議・MTG（問題解決）,2.0
2026/06/08,高橋 彼,会議・MTG（1オン1・相談）,1.0
2026/06/08,高橋 彼,情報探索・問い合わせ,1.0
2026/06/08,高橋 彼,申請・手続き・事務対応,1.5
2026/06/08,田中 智,会議・MTG（1オン1・相談）,2.0
2026/06/08,田中 智,会議・MTG（1オン1・相談）,1.0
2026/06/08,田中 智,その他,2.0
2026/06/08,田中 智,会議・MTG（1オン1・相談）,3.0
2026/06/08,伊藤 儚,その他,3.0
2026/06/08,伊藤 儚,業務進行,0.5
2026/06/08,伊藤 儚,データ集計・分析・考察・思考,1.0
2026/06/08,伊藤 儚,会議・MTG（情報共有・報告）,1.0
2026/06/08,伊藤 儚,業務進行,2.0
2026/06/08,伊藤 儚,情報探索・問い合わせ,0.5
2026/06/08,渡辺 優,会議・MTG（情報共有・報告）,1.0
2026/06/08,渡辺 優,情報探索・問い合わせ,2.0
2026/06/08,渡辺 優,会議・MTG（情報共有・報告）,3.0
2026/06/08,渡辺 優,会議・MTG（意思決定）,1.5
2026/06/09,佐藤 健一,会議・MTG（その他）,0.5
2026/06/09,佐藤 健一,会議・MTG（意思決定）,1.0
2026/06/09,佐藤 健一,会議・MTG（情報共有・報告）,2.0
2026/06/09,佐藤 健一,申請・手続き・事務対応,2.0
2026/06/09,佐藤 健一,情報探索・問い合わせ,0.5
2026/06/09,佐藤 健一,資料作成・確認,1.0
2026/06/09,鈴木 美和,会議・MTG（その他）,1.5
2026/06/09,鈴木 美和,クライアント対応,0.5
2026/06/09,鈴木 美和,会議・MTG（情報共有・報告）,1.5
2026/06/09,鈴木 美和,申請・手続き・事務対応,1.0
2026/06/09,鈴木 美和,会議・MTG（意思決定）,2.5
2026/06/09,高橋 彼,業務進行,0.5
2026/06/09,高橋 彼,データ集計・分析・考察・思考,1.0
2026/06/09,高橋 彼,会議・MTG（意思決定）,2.0
2026/06/09,高橋 彼,クライアント対応,0.5
2026/06/09,高橋 彼,会議・MTG（その他）,1.5
2026/06/09,高橋 彼,会議・MTG（その他）,0.5
2026/06/09,高橋 彼,会議・MTG（問題解決）,1.5
2026/06/09,田中 智,データ集計・分析・考察・思考,3.0
2026/06/09,田中 智,会議・MTG（意思決定）,1.5
2026/06/09,田中 智,データ集計・分析・考察・思考,2.0
2026/06/09,田中 智,クライアント対応,0.5
2026/06/09,伊藤 儚,クライアント対応,1.0
2026/06/09,伊藤 儚,会議・MTG（問題解決）,1.5
2026/06/09,伊藤 儚,申請・手続き・事務対応,0.5
2026/06/09,伊藤 儚,資料作成・確認,2.0
2026/06/09,伊藤 儚,申請・手続き・事務対応,0.5
2026/06/09,伊藤 儚,クライアント対応,1.5
2026/06/09,渡辺 優,会議・MTG（意思決定）,3.0
2026/06/09,渡辺 優,申請・手続き・事務対応,1.5
2026/06/09,渡辺 優,会議・MTG（問題解決）,0.5
2026/06/09,渡辺 優,会議・MTG（問題解決）,1.0
2026/06/09,渡辺 優,会議・MTG（その他）,1.5
2026/06/10,佐藤 健一,その他,2.0
2026/06/10,佐藤 健一,業務進行,2.0
2026/06/10,佐藤 健一,データ集計・分析・考察・思考,3.0
2026/06/10,佐藤 健一,クライアント対応,0.5
2026/06/10,佐藤 健一,会議・MTG（その他）,0.5
2026/06/10,鈴木 美和,業務進行,1.5
2026/06/10,鈴木 美和,会議・MTG（意思決定）,1.0
2026/06/10,鈴木 美和,会議・MTG（問題解決）,1.5
2026/06/10,鈴木 美和,会議・MTG（その他）,1.5
2026/06/10,鈴木 美和,情報探索・問い合わせ,1.5
2026/06/10,鈴木 美和,資料作成・確認,1.0
2026/06/10,高橋 彼,クライアント対応,3.0
2026/06/10,高橋 彼,会議・MTG（問題解決）,3.0
2026/06/10,高橋 彼,業務進行,0.5
2026/06/10,田中 智,会議・MTG（1オン1・相談）,0.5
2026/06/10,田中 智,会議・MTG（問題解決）,0.5
2026/06/10,田中 智,会議・MTG（その他）,1.5
2026/06/10,田中 智,クライアント対応,0.5
2026/06/10,田中 智,業務進行,2.0
2026/06/10,田中 智,申請・手続き・事務対応,1.0
2026/06/10,田中 智,業務進行,0.5
2026/06/10,田中 智,会議・MTG（1オン1・相談）,0.5
2026/06/10,伊藤 儚,資料作成・確認,1.0
2026/06/10,伊藤 儚,クライアント対応,2.0
2026/06/10,伊藤 儚,その他,2.0
2026/06/10,伊藤 儚,会議・MTG（意思決定）,0.5
2026/06/10,伊藤 儚,クライアント対応,2.0
2026/06/10,渡辺 優,その他,2.0
2026/06/10,渡辺 優,クライアント対応,3.0
2026/06/10,渡辺 優,会議・MTG（その他）,1.0
2026/06/10,渡辺 優,データ集計・分析・考察・思考,0.5
2026/06/11,佐藤 健一,データ集計・分析・考察・思考,2.0
2026/06/11,佐藤 健一,会議・MTG（その他）,0.5
2026/06/11,佐藤 健一,情報探索・問い合わせ,3.0
2026/06/11,佐藤 健一,情報探索・問い合わせ,1.5
2026/06/11,佐藤 健一,クライアント対応,1.5
2026/06/11,鈴木 美和,会議・MTG（問題解決）,0.5
2026/06/11,鈴木 美和,会議・MTG（その他）,3.0
2026/06/11,鈴木 美和,会議・MTG（1オン1・相談）,2.0
2026/06/11,鈴木 美和,会議・MTG（問題解決）,0.5
2026/06/11,鈴木 美和,会議・MTG（問題解決）,2.0
2026/06/11,高橋 彼,会議・MTG（その他）,1.0
2026/06/11,高橋 彼,会議・MTG（意思決定）,3.0
2026/06/11,高橋 彼,資料作成・確認,1.5
2026/06/11,高橋 彼,情報探索・問い合わせ,2.0
2026/06/11,高橋 彼,資料作成・確認,0.5
2026/06/11,田中 智,データ集計・分析・考察・思考,1.5
2026/06/11,田中 智,申請・手続き・事務対応,1.5
2026/06/11,田中 智,会議・MTG（問題解決）,2.0
2026/06/11,田中 智,会議・MTG（意思決定）,3.0
2026/06/11,伊藤 儚,会議・MTG（その他）,1.5
2026/06/11,伊藤 儚,申請・手続き・事務対応,1.0
2026/06/11,伊藤 儚,会議・MTG（1オン1・相談）,1.5
2026/06/11,伊藤 儚,会議・MTG（その他）,2.0
2026/06/11,伊藤 儚,情報探索・問い合わせ,2.0
2026/06/11,伊藤 儚,会議・MTG（その他）,0.5
2026/06/11,渡辺 優,会議・MTG（1オン1・相談）,0.5
2026/06/11,渡辺 優,情報探索・問い合わせ,1.0
2026/06/11,渡辺 優,会議・MTG（意思決定）,0.5
2026/06/11,渡辺 優,会議・MTG（情報共有・報告）,1.5
2026/06/11,渡辺 優,会議・MTG（その他）,1.0
2026/06/11,渡辺 優,会議・MTG（情報共有・報告）,3.0
2026/06/11,渡辺 優,クライアント対応,1.0
2026/06/12,佐藤 健一,会議・MTG（情報共有・報告）,1.5
2026/06/12,佐藤 健一,データ集計・分析・考察・思考,0.5
2026/06/12,佐藤 健一,会議・MTG（情報共有・報告）,1.5
2026/06/12,佐藤 健一,会議・MTG（その他）,3.0
2026/06/12,佐藤 健一,その他,1.5
2026/06/12,鈴木 美和,会議・MTG（意思決定）,2.0
2026/06/12,鈴木 美和,クライアント対応,1.0
2026/06/12,鈴木 美和,情報探索・問い合わせ,1.0
2026/06/12,鈴木 美和,会議・MTG（意思決定）,2.0
2026/06/12,鈴木 美和,その他,1.0
2026/06/12,高橋 彼,データ集計・分析・考察・思考,2.0
2026/06/12,高橋 彼,データ集計・分析・考察・思考,0.5
2026/06/12,高橋 彼,申請・手続き・事務対応,3.0
2026/06/12,高橋 彼,業務進行,1.5
2026/06/12,高橋 彼,会議・MTG（問題解決）,0.5
2026/06/12,田中 智,会議・MTG（1オン1・相談）,1.5
2026/06/12,田中 智,資料作成・確認,0.5
2026/06/12,田中 智,クライアント対応,0.5
2026/06/12,田中 智,クライアント対応,2.0
2026/06/12,田中 智,会議・MTG（意思決定）,2.0
2026/06/12,田中 智,会議・MTG（問題解決）,1.0
2026/06/12,田中 智,申請・手続き・事務対応,1.0
2026/06/12,伊藤 儚,その他,2.0
2026/06/12,伊藤 儚,資料作成・確認,3.0
2026/06/12,伊藤 儚,会議・MTG（その他）,2.0
2026/06/12,伊藤 儚,データ集計・分析・考察・思考,1.0
2026/06/12,渡辺 優,クライアント対応,3.0
2026/06/12,渡辺 優,申請・手続き・事務対応,0.5
2026/06/12,渡辺 優,データ集計・分析・考察・思考,3.0
2026/06/12,渡辺 優,情報探索・問い合わせ,1.0
2026/06/15,佐藤 健一,会議・MTG（意思決定）,1.0
2026/06/15,佐藤 健一,情報探索・問い合わせ,2.0
2026/06/15,佐藤 健一,その他,1.0
2026/06/15,佐藤 健一,申請・手続き・事務対応,0.5
2026/06/15,佐藤 健一,会議・MTG（問題解決）,1.5
2026/06/15,佐藤 健一,会議・MTG（問題解決）,1.5
2026/06/15,佐藤 健一,会議・MTG（その他）,1.0
2026/06/15,鈴木 美和,会議・MTG（1オン1・相談）,1.0
2026/06/15,鈴木 美和,クライアント対応,1.0
2026/06/15,鈴木 美和,業務進行,1.5
2026/06/15,鈴木 美和,データ集計・分析・考察・思考,3.0
2026/06/15,鈴木 美和,会議・MTG（情報共有・報告）,0.5
2026/06/15,高橋 彼,申請・手続き・事務対応,1.0
2026/06/15,高橋 彼,会議・MTG（その他）,0.5
2026/06/15,高橋 彼,会議・MTG（1オン1・相談）,0.5
2026/06/15,高橋 彼,データ集計・分析・考察・思考,3.0
2026/06/15,高橋 彼,会議・MTG（その他）,1.5
2026/06/15,田中 智,情報探索・問い合わせ,1.5
2026/06/15,田中 智,会議・MTG（1オン1・相談）,0.5
2026/06/15,田中 智,会議・MTG（情報共有・報告）,3.0
2026/06/15,田中 智,会議・MTG（情報共有・報告）,1.5
2026/06/15,田中 智,会議・MTG（情報共有・報告）,1.0
2026/06/15,伊藤 儚,その他,1.0
2026/06/15,伊藤 儚,申請・手続き・事務対応,1.5
2026/06/15,伊藤 儚,会議・MTG（情報共有・報告）,1.0
2026/06/15,伊藤 儚,会議・MTG（意思決定）,1.0
2026/06/15,伊藤 儚,クライアント対応,3.0
2026/06/15,渡辺 優,会議・MTG（その他）,2.0
2026/06/15,渡辺 優,資料作成・確認,3.0
2026/06/15,渡辺 優,クライアント対応,1.5
2026/06/16,佐藤 健一,会議・MTG（情報共有・報告）,1.5
2026/06/16,佐藤 健一,申請・手続き・事務対応,1.5
2026/06/16,佐藤 健一,その他,2.0
2026/06/16,佐藤 健一,クライアント対応,1.5
2026/06/16,佐藤 健一,データ集計・分析・考察・思考,2.0
2026/06/16,鈴木 美和,その他,1.0
2026/06/16,鈴木 美和,申請・手続き・事務対応,0.5
2026/06/16,鈴木 美和,会議・MTG（その他）,2.0
2026/06/16,鈴木 美和,資料作成・確認,0.5
2026/06/16,鈴木 美和,会議・MTG（1オン1・相談）,2.0
2026/06/16,鈴木 美和,会議・MTG（その他）,1.5
2026/06/16,高橋 彼,資料作成・確認,1.5
2026/06/16,高橋 彼,会議・MTG（意思決定）,0.5
2026/06/16,高橋 彼,データ集計・分析・考察・思考,1.0
2026/06/16,高橋 彼,会議・MTG（1オン1・相談）,2.0
2026/06/16,高橋 彼,会議・MTG（1オン1・相談）,2.0
2026/06/16,田中 智,その他,1.0
2026/06/16,田中 智,業務進行,1.0
2026/06/16,田中 智,会議・MTG（その他）,1.0
2026/06/16,田中 智,会議・MTG（意思決定）,3.0
2026/06/16,田中 智,会議・MTG（問題解決）,2.0
2026/06/16,伊藤 儚,その他,1.0
2026/06/16,伊藤 儚,会議・MTG（1オン1・相談）,1.0
2026/06/16,伊藤 儚,申請・手続き・事務対応,0.5
2026/06/16,伊藤 儚,クライアント対応,0.5
2026/06/16,伊藤 儚,その他,3.0
2026/06/16,伊藤 儚,申請・手続き・事務対応,0.5
2026/06/16,渡辺 優,申請・手続き・事務対応,2.0
2026/06/16,渡辺 優,会議・MTG（その他）,2.0
2026/06/16,渡辺 優,会議・MTG（意思決定）,0.5
2026/06/16,渡辺 優,会議・MTG（1オン1・相談）,2.0
2026/06/16,渡辺 優,その他,1.0
2026/06/17,佐藤 健一,会議・MTG（問題解決）,0.5
2026/06/17,佐藤 健一,その他,2.0
2026/06/17,佐藤 健一,情報探索・問い合わせ,2.0
2026/06/17,佐藤 健一,資料作成・確認,0.5
2026/06/17,佐藤 健一,申請・手続き・事務対応,0.5
2026/06/17,佐藤 健一,会議・MTG（1オン1・相談）,2.0
2026/06/17,鈴木 美和,データ集計・分析・考察・思考,1.0
2026/06/17,鈴木 美和,その他,3.0
2026/06/17,鈴木 美和,会議・MTG（意思決定）,0.5
2026/06/17,鈴木 美和,その他,1.5
2026/06/17,鈴木 美和,情報探索・問い合わせ,1.0
2026/06/17,鈴木 美和,会議・MTG（問題解決）,1.0
2026/06/17,鈴木 美和,会議・MTG（その他）,0.5
2026/06/17,高橋 彼,会議・MTG（意思決定）,3.0
2026/06/17,高橋 彼,会議・MTG（意思決定）,1.0
2026/06/17,高橋 彼,業務進行,1.0
2026/06/17,高橋 彼,会議・MTG（問題解決）,2.0
2026/06/17,田中 智,情報探索・問い合わせ,1.0
2026/06/17,田中 智,クライアント対応,1.5
2026/06/17,田中 智,申請・手続き・事務対応,1.0
2026/06/17,田中 智,会議・MTG（情報共有・報告）,0.5
2026/06/17,田中 智,クライアント対応,1.5
2026/06/17,田中 智,情報探索・問い合わせ,1.0
2026/06/17,伊藤 儚,会議・MTG（1オン1・相談）,0.5
2026/06/17,伊藤 儚,申請・手続き・事務対応,2.0
2026/06/17,伊藤 儚,申請・手続き・事務対応,1.5
2026/06/17,伊藤 儚,会議・MTG（問題解決）,3.0
2026/06/17,伊藤 儚,会議・MTG（その他）,0.5
2026/06/17,伊藤 儚,会議・MTG（情報共有・報告）,1.0
2026/06/17,渡辺 優,会議・MTG（1オン1・相談）,3.0
2026/06/17,渡辺 優,情報探索・問い合わせ,1.5
2026/06/17,渡辺 優,会議・MTG（問題解決）,0.5
2026/06/17,渡辺 優,クライアント対応,2.0
2026/06/18,佐藤 健一,資料作成・確認,0.5
2026/06/18,佐藤 健一,会議・MTG（情報共有・報告）,3.0
2026/06/18,佐藤 健一,会議・MTG（問題解決）,0.5
2026/06/18,佐藤 健一,会議・MTG（問題解決）,1.5
2026/06/18,佐藤 健一,会議・MTG（1オン1・相談）,2.0
2026/06/18,鈴木 美和,会議・MTG（1オン1・相談）,1.0
2026/06/18,鈴木 美和,データ集計・分析・考察・思考,2.0
2026/06/18,鈴木 美和,クライアント対応,1.0
2026/06/18,鈴木 美和,資料作成・確認,0.5
2026/06/18,鈴木 美和,申請・手続き・事務対応,1.5
2026/06/18,鈴木 美和,会議・MTG（1オン1・相談）,0.5
2026/06/18,鈴木 美和,業務進行,0.5
2026/06/18,高橋 彼,会議・MTG（その他）,3.0
2026/06/18,高橋 彼,会議・MTG（情報共有・報告）,1.0
2026/06/18,高橋 彼,クライアント対応,0.5
2026/06/18,高橋 彼,データ集計・分析・考察・思考,1.0
2026/06/18,高橋 彼,会議・MTG（1オン1・相談）,0.5
2026/06/18,高橋 彼,資料作成・確認,1.0
2026/06/18,高橋 彼,業務進行,0.5
2026/06/18,田中 智,会議・MTG（その他）,2.0
2026/06/18,田中 智,会議・MTG（問題解決）,3.0
2026/06/18,田中 智,情報探索・問い合わせ,0.5
2026/06/18,田中 智,会議・MTG（情報共有・報告）,2.0
2026/06/18,田中 智,情報探索・問い合わせ,0.5
2026/06/18,伊藤 儚,クライアント対応,0.5
2026/06/18,伊藤 儚,データ集計・分析・考察・思考,1.0
2026/06/18,伊藤 儚,データ集計・分析・考察・思考,1.5
2026/06/18,伊藤 儚,情報探索・問い合わせ,0.5
2026/06/18,伊藤 儚,申請・手続き・事務対応,1.5
2026/06/18,伊藤 儚,情報探索・問い合わせ,3.0
2026/06/18,伊藤 儚,申請・手続き・事務対応,0.5
2026/06/18,渡辺 優,会議・MTG（1オン1・相談）,1.0
2026/06/18,渡辺 優,資料作成・確認,0.5
2026/06/18,渡辺 優,情報探索・問い合わせ,1.0
2026/06/18,渡辺 優,会議・MTG（意思決定）,1.5
2026/06/18,渡辺 優,クライアント対応,1.5
2026/06/18,渡辺 優,その他,2.5
2026/06/19,佐藤 健一,クライアント対応,0.5
2026/06/19,佐藤 健一,申請・手続き・事務対応,1.0
2026/06/19,佐藤 健一,業務進行,1.0
2026/06/19,佐藤 健一,会議・MTG（その他）,0.5
2026/06/19,佐藤 健一,データ集計・分析・考察・思考,1.0
2026/06/19,佐藤 健一,会議・MTG（その他）,0.5
2026/06/19,佐藤 健一,情報探索・問い合わせ,1.5
2026/06/19,佐藤 健一,資料作成・確認,0.5
2026/06/19,佐藤 健一,情報探索・問い合わせ,0.5
2026/06/19,佐藤 健一,会議・MTG（1オン1・相談）,0.5
2026/06/19,鈴木 美和,その他,1.0
2026/06/19,鈴木 美和,会議・MTG（情報共有・報告）,3.0
2026/06/19,鈴木 美和,資料作成・確認,2.0
2026/06/19,鈴木 美和,データ集計・分析・考察・思考,1.0
2026/06/19,鈴木 美和,情報探索・問い合わせ,0.5
2026/06/19,鈴木 美和,会議・MTG（その他）,0.5
2026/06/19,高橋 彼,会議・MTG（問題解決）,1.0
2026/06/19,高橋 彼,会議・MTG（問題解決）,2.0
2026/06/19,高橋 彼,会議・MTG（情報共有・報告）,1.5
2026/06/19,高橋 彼,その他,1.5
2026/06/19,高橋 彼,その他,0.5
2026/06/19,田中 智,会議・MTG（情報共有・報告）,0.5
2026/06/19,田中 智,会議・MTG（情報共有・報告）,2.0
2026/06/19,田中 智,会議・MTG（情報共有・報告）,1.5
2026/06/19,田中 智,情報探索・問い合わせ,3.0
2026/06/19,伊藤 儚,申請・手続き・事務対応,0.5
2026/06/19,伊藤 儚,業務進行,1.0
2026/06/19,伊藤 儚,データ集計・分析・考察・思考,1.0
2026/06/19,伊藤 儚,会議・MTG（情報共有・報告）,0.5
2026/06/19,伊藤 儚,その他,2.0
2026/06/19,伊藤 儚,業務進行,1.0
2026/06/19,伊藤 儚,業務進行,1.5
2026/06/19,伊藤 儚,会議・MTG（その他）,0.5
2026/06/19,渡辺 優,会議・MTG（その他）,1.0
2026/06/19,渡辺 優,データ集計・分析・考察・思考,2.0
2026/06/19,渡辺 優,情報探索・問い合わせ,2.0
